target,target1,is_sick,date,area,size,speed,x_head,y_head,rotation,x_center,y_center,temperature,temperature_speed
25,m25,FALSE,10/22/20,688.52,18.63,4.18,0.66,0.16,0.3,0.6,0.23,39.57,-0.05
25,m25,FALSE,10/22/20,687.15,18.61,4.17,0.66,0.16,0.3,0.6,0.23,39.57,-0.05
25,m25,FALSE,10/22/20,685.77,18.61,4.16,0.66,0.16,0.3,0.6,0.23,39.58,-0.05
25,m25,FALSE,10/22/20,685.76,18.62,4.19,0.65,0.16,0.3,0.6,0.23,39.58,-0.06
25,m25,FALSE,10/22/20,684.55,18.62,4.19,0.65,0.16,0.3,0.6,0.23,39.59,-0.05
25,m25,FALSE,10/22/20,683.33,18.6,4.19,0.65,0.16,0.3,0.6,0.23,39.6,-0.05
25,m25,FALSE,10/22/20,682.39,18.59,4.19,0.65,0.16,0.3,0.59,0.23,39.6,-0.05
25,m25,FALSE,10/22/20,681.51,18.58,4.19,0.65,0.16,0.3,0.59,0.23,39.61,-0.05
25,m25,FALSE,10/22/20,680.56,18.57,4.21,0.65,0.16,0.31,0.59,0.23,39.62,-0.05
25,m25,FALSE,10/22/20,679.05,18.55,4.18,0.65,0.16,0.3,0.59,0.23,39.62,-0.04
25,m25,FALSE,10/22/20,677.71,18.55,4.18,0.65,0.16,0.3,0.59,0.23,39.63,-0.04
25,m25,FALSE,10/22/20,677.16,18.54,4.17,0.64,0.15,0.3,0.59,0.22,39.62,-0.04
25,m25,FALSE,10/22/20,677.03,18.54,4.17,0.64,0.15,0.3,0.59,0.22,39.62,-0.04
25,m25,FALSE,10/22/20,676.63,18.53,4.17,0.64,0.15,0.3,0.58,0.22,39.63,-0.04
25,m25,FALSE,10/22/20,674.95,18.53,4.12,0.64,0.15,0.3,0.58,0.22,39.63,-0.03
25,m25,FALSE,10/22/20,674.56,18.53,4.11,0.64,0.15,0.3,0.58,0.22,39.63,-0.02
25,m25,FALSE,10/22/20,673.77,18.53,4.11,0.64,0.15,0.3,0.58,0.22,39.63,-0.03
25,m25,FALSE,10/22/20,674.06,18.54,4.11,0.64,0.15,0.3,0.58,0.22,39.64,-0.03
25,m25,FALSE,10/22/20,673.53,18.53,4.11,0.64,0.15,0.3,0.58,0.22,39.64,-0.03
25,m25,FALSE,10/22/20,673.32,18.54,4.11,0.64,0.15,0.3,0.58,0.22,39.65,-0.02
25,m25,FALSE,10/22/20,672.74,18.53,4.11,0.64,0.15,0.31,0.58,0.22,39.65,-0.03
25,m25,FALSE,10/22/20,671.87,18.52,4.13,0.64,0.15,0.31,0.58,0.22,39.66,-0.03
25,m25,FALSE,10/22/20,669.68,18.49,4.13,0.64,0.15,0.31,0.58,0.22,39.67,-0.02
25,m25,FALSE,10/22/20,669.19,18.49,3.77,0.63,0.15,0.31,0.57,0.22,39.68,-0.02
25,m25,FALSE,10/22/20,669.03,18.49,3.76,0.63,0.15,0.3,0.57,0.22,39.68,-0.02
25,m25,FALSE,10/22/20,670.15,18.5,3.75,0.63,0.15,0.3,0.57,0.22,39.68,-0.02
25,m25,FALSE,10/22/20,670.62,18.48,3.74,0.63,0.15,0.31,0.57,0.22,39.67,-0.03
25,m25,FALSE,10/22/20,670.68,18.47,3.58,0.63,0.15,0.3,0.57,0.22,39.67,-0.02
25,m25,FALSE,10/22/20,670.02,18.46,3.58,0.63,0.15,0.3,0.57,0.22,39.68,-0.02
25,m25,FALSE,10/22/20,670.21,18.47,3.58,0.63,0.15,0.3,0.57,0.22,39.68,-0.02
25,m25,FALSE,10/22/20,670.09,18.47,3.58,0.63,0.15,0.31,0.57,0.22,39.69,-0.02
25,m25,FALSE,10/22/20,670.97,18.5,3.58,0.63,0.15,0.31,0.57,0.21,39.69,-0.02
25,m25,FALSE,10/22/20,671.1,18.52,3.58,0.63,0.15,0.31,0.57,0.21,39.71,-0.02
25,m25,FALSE,10/22/20,671.42,18.53,3.58,0.63,0.15,0.31,0.57,0.21,39.72,-0.02
25,m25,FALSE,10/22/20,671.27,18.54,3.57,0.63,0.15,0.31,0.56,0.21,39.72,-0.03
25,m25,FALSE,10/22/20,670.19,18.54,3.57,0.63,0.15,0.31,0.56,0.21,39.74,-0.02
25,m25,FALSE,10/22/20,670.19,18.54,3.57,0.63,0.15,0.31,0.56,0.21,39.74,-0.02
25,m25,FALSE,10/22/20,669.12,18.53,3.57,0.62,0.15,0.31,0.56,0.21,39.75,-0.02
25,m25,FALSE,10/22/20,667.82,18.52,3.58,0.62,0.15,0.31,0.56,0.21,39.76,-0.02
25,m25,FALSE,10/22/20,668.75,18.54,3.58,0.62,0.15,0.31,0.56,0.21,39.76,-0.02
25,m25,FALSE,10/22/20,667.68,18.53,3.57,0.62,0.15,0.31,0.56,0.21,39.77,-0.02
25,m25,FALSE,10/22/20,668.73,18.56,3.57,0.62,0.15,0.31,0.56,0.21,39.78,-0.02
25,m25,FALSE,10/22/20,669.56,18.58,3.57,0.62,0.15,0.31,0.56,0.21,39.78,-0.02
25,m25,FALSE,10/22/20,668.74,18.57,3.55,0.62,0.15,0.31,0.56,0.21,39.79,-0.02
25,m25,FALSE,10/22/20,666.77,18.54,3.54,0.62,0.15,0.31,0.55,0.21,39.8,-0.02
25,m25,FALSE,10/22/20,666.68,18.53,3.52,0.62,0.15,0.31,0.55,0.21,39.81,-0.02
25,m25,FALSE,10/22/20,666.86,18.53,3.52,0.62,0.15,0.31,0.55,0.21,39.81,-0.02
25,m25,FALSE,10/22/20,668.15,18.54,3.52,0.61,0.15,0.31,0.55,0.21,39.8,-0.03
25,m25,FALSE,10/22/20,667.32,18.52,3.52,0.61,0.15,0.31,0.55,0.21,39.81,-0.03
25,m25,FALSE,10/22/20,666.83,18.51,3.53,0.61,0.15,0.31,0.55,0.21,39.82,-0.02
25,m25,FALSE,10/22/20,666.33,18.51,3.54,0.61,0.15,0.31,0.55,0.21,39.82,-0.02
25,m25,FALSE,10/22/20,665.44,18.5,3.54,0.61,0.14,0.31,0.55,0.21,39.83,-0.02
