date1,date,target,target1,is_sick,area,size,speed,x_head,y_head,rotation,x_center,y_center,temperature,temperature_speed
44125.00,10/21/20,25,m25,FALSE,893.59,20.12,5.9,0.67,0.15,0.33,0.69,0.31,38.51,-0.51
44125.00,10/21/20,25,m25,FALSE,892.21,20.11,5.89,0.67,0.15,0.33,0.69,0.31,38.51,-0.51
44125.00,10/21/20,25,m25,FALSE,890.84,20.1,5.88,0.67,0.15,0.33,0.69,0.31,38.52,-0.5
44125.00,10/21/20,25,m25,FALSE,889.47,20.09,5.87,0.67,0.15,0.33,0.69,0.31,38.53,-0.5
44125.00,10/21/20,25,m25,FALSE,888.1,20.08,5.85,0.67,0.15,0.33,0.69,0.31,38.53,-0.5
44125.00,10/21/20,25,m25,FALSE,886.73,20.07,5.84,0.67,0.15,0.33,0.69,0.31,38.54,-0.49
44125.00,10/21/20,25,m25,FALSE,885.36,20.06,5.83,0.67,0.15,0.33,0.69,0.31,38.55,-0.49
44125.00,10/21/20,25,m25,FALSE,883.98,20.05,5.82,0.67,0.15,0.33,0.69,0.31,38.56,-0.49
44125.00,10/21/20,25,m25,FALSE,882.61,20.04,5.81,0.67,0.15,0.33,0.69,0.31,38.56,-0.48
44125.00,10/21/20,25,m25,FALSE,881.24,20.03,5.8,0.67,0.15,0.33,0.69,0.31,38.57,-0.48
44125.00,10/21/20,25,m25,FALSE,879.87,20.02,5.78,0.66,0.15,0.33,0.69,0.31,38.58,-0.48
44125.00,10/21/20,25,m25,FALSE,878.5,20.01,5.77,0.66,0.15,0.32,0.69,0.31,38.58,-0.48
44125.00,10/21/20,25,m25,FALSE,877.13,20,5.76,0.66,0.15,0.32,0.69,0.31,38.59,-0.47
44125.00,10/21/20,25,m25,FALSE,875.75,19.99,5.75,0.66,0.15,0.32,0.68,0.31,38.6,-0.47
44125.00,10/21/20,25,m25,FALSE,874.38,19.98,5.74,0.66,0.15,0.32,0.68,0.31,38.61,-0.47
44125.00,10/21/20,25,m25,FALSE,873.01,19.97,5.73,0.66,0.15,0.32,0.68,0.31,38.61,-0.46
44125.00,10/21/20,25,m25,FALSE,871.64,19.96,5.72,0.66,0.15,0.32,0.68,0.31,38.62,-0.46
44125.00,10/21/20,25,m25,FALSE,870.27,19.95,5.7,0.66,0.15,0.32,0.68,0.31,38.63,-0.46
44125.00,10/21/20,25,m25,FALSE,868.9,19.94,5.69,0.66,0.15,0.32,0.68,0.3,38.63,-0.45
44125.00,10/21/20,25,m25,FALSE,867.52,19.93,5.68,0.66,0.15,0.32,0.68,0.3,38.64,-0.45
44125.00,10/21/20,25,m25,FALSE,866.15,19.92,5.67,0.66,0.15,0.32,0.68,0.3,38.65,-0.45
44125.00,10/21/20,25,m25,FALSE,864.78,19.91,5.66,0.66,0.15,0.32,0.68,0.3,38.65,-0.44
44125.00,10/21/20,25,m25,FALSE,863.41,19.9,5.65,0.66,0.15,0.32,0.68,0.3,38.66,-0.44
